2026-05-08T11:39:16Z | 172.22.0.1 | SQLI-001 | UNION SELECT statement | URI | /vulnerabilities/sqli/?id=1' UNION SELECT user,password FROM users-- -
2026-05-08T11:39:16Z | 172.22.0.1 | SQLI-002 | Boolean tautology (OR 1=1 variants) | URI | /vulnerabilities/sqli/?id=1' OR '1'='1
2026-05-08T11:39:16Z | 172.22.0.1 | SQLI-002 | Boolean tautology (OR 1=1 variants) | URI | /vulnerabilities/sqli/?id=' OR 1=1--
2026-05-08T11:39:17Z | 172.22.0.1 | SQLI-003 | SQL comment sequences | URI | /vulnerabilities/sqli/?id=1' AND SLEEP(1)-- -
2026-05-08T11:39:17Z | 172.22.0.1 | SQLI-003 | SQL comment sequences | URI | /vulnerabilities/sqli/?id=1'-- -
2026-05-08T11:39:17Z | 172.22.0.1 | SQLI-003 | SQL comment sequences | URI | /vulnerabilities/sqli/?id=1'; DROP TABLE users--
2026-05-08T11:39:17Z | 172.22.0.1 | SQLI-001 | UNION SELECT statement | URI | /vulnerabilities/sqli/?id=0 UNION SELECT 1,2
2026-05-08T11:39:17Z | 172.22.0.1 | SQLI-001 | UNION SELECT statement | URI | /vulnerabilities/sqli/?id=1' UNION SELECT 1,2--
2026-05-08T11:39:17Z | 172.22.0.1 | SQLI-003 | SQL comment sequences | URI | /vulnerabilities/sqli/?id=1' AND 1=2--
2026-05-08T11:39:17Z | 172.22.0.1 | SQLI-003 | SQL comment sequences | BODY | username=admin'--&Submit=Submit
2026-05-08T11:39:18Z | 172.22.0.1 | SQLI-002 | Boolean tautology (OR 1=1 variants) | BODY | password=' OR '1'='1&Submit=Submit
2026-05-08T11:39:18Z | 172.22.0.1 | XSS-001 | Script tag | URI | /vulnerabilities/xss_r/?name=<script>alert(1)</script>
2026-05-08T11:39:18Z | 172.22.0.1 | XSS-002 | Event handler attributes (onerror, onload, etc.) | URI | /vulnerabilities/xss_r/?name=<img src=x onerror=alert(1)>
2026-05-08T11:39:18Z | 172.22.0.1 | XSS-002 | Event handler attributes (onerror, onload, etc.) | URI | /vulnerabilities/xss_r/?name=<svg onload=alert(1)>
2026-05-08T11:39:18Z | 172.22.0.1 | XSS-003 | javascript: URI scheme | URI | /vulnerabilities/xss_r/?name=<a href=javascript:alert(1)>x</a>
2026-05-08T11:39:18Z | 172.22.0.1 | XSS-002 | Event handler attributes (onerror, onload, etc.) | URI | /vulnerabilities/xss_r/?name=<input onfocus=alert(1) autofocus>
2026-05-08T11:39:18Z | 172.22.0.1 | XSS-001 | Script tag | URI | /vulnerabilities/xss_r/?name=<script>alert(1)</script>
